authors,first_name,last_name,title,description,rating,review,status,began_date,completed_date,tags,notes,groups,copies,added_date,publisher,publish_date,pages,asin,isbn10,isbn13
"Naomi Klein",Naomi,Klein,"No Logo. Der Kampf der Global Players um Marktmacht. Ein Spiel mit vielen Verlierern und wenigen Gewinnern"," Wer dachte, zum Thema Globalisierung sei schon alles gesagt, der wird durch das Buch von Naomi Klein eines Besseren belehrt. Zugegeben, ihre Ausgangsthese, dass die Globalisierung viele Gesichter habe, einige strahlende, die den wenigen Gewinnern gehören, aber eben auch viele verzweifelte der zahlreichen Verlierer, ist nicht neu. Das ist aber auch nicht ihr Thema. Die freischaffende Autorin und Redakteurin geht vielmehr einen Schritt weiter: Ihr Werk resümiert die ersten Ansätze der ""nächsten politischen Bewegung"", einer Art globaler Anti-Globalisierungsbewegung, und versteht sich ganz bewusst als deren Schrittmacher. Systematisch entwickelt die Autorin ihren Gedankengang: Der Entgrenzung der Markträume -- nichts anderes ist Globalisierung -- folgt keineswegs die so oft vorhergesagte regellose globale Anarchie beziehungsweise die schöne neue Welt der großen Vielfalt. Vielmehr ist die Folge der Entgrenzung die Beschneidung der individuellen Freiheit, die Beschränkung der Auswahl sowie die Einebnung kultureller Heterogenität durch die Herrschaft der großen, weltweit agierenden Konzerne. Microsoft, Shell und Ko., die sich zusammengetan haben, um die ""de facto Weltregierung"" zu bilden, erklärt Klein zum Feindbild. Mit vielen gut ausgewählten Beispielen zeigt sie, dass sich aber auch seit einigen Jahren weltweit eine Bewegung etabliert hat, die gegen die Konzernherrschaft ankämpft. Es ist vor allem die Art und Weise, wie Naomi Klein ihre persönlichen Erfahrungen, Beobachtungen und Schlussfolgerungen in den Text einbaut, die den Reiz des Buches ausmacht. In der Tradition amerikanischer Essayistik stehend, verschweigt sie ihre persönliche Betroffenheit nicht, sondern setzt sie bewusst ein. Damit vermischt sich objektive, faktenreiche Darstellung mit subjektiver Bewertung zu einem aufrüttelnden Appell an den Leser. --Dr. Manfred Schwarzmeier",,,,,,,,,,2016-01-06,"Riemann Verlag",2002-01-01,511,3570500187,3570500187,9783570500187
"Eckhart Nickel",Eckhart,Nickel,"Was ich davon halte: Erzählungen",,,,,,,,,,,2016-01-06,"Quadriga, Berlin",,160,3886793486,3886793486,9783886793488
"Frank Herbert",Frank,Herbert,"Der Wüstenplanet. Roman"," Arthur C. Clarke",,,,,,,,,,2016-01-06,"Heyne Verlag",2001-05-01,880,3453186834,3453186834,9783453186835
"Frank Herbert",Frank,Herbert,"Die Kinder des Wüstenplaneten: Roman","Etwas stärkere Gebrauchsspuren;",,,,,,,,,,2016-01-06,"Heyne Verlag",2001-05-01,656,3453186850,3453186850,9783453186859
"Frank Herbert",Frank,Herbert,"Der Herr des Wüstenplaneten: Roman","Etwas stärkere Gebrauchsspuren;",,,,,,,,,,2016-01-06,"Heyne Verlag",2001-05-01,304,3453186842,3453186842,9783453186842
"Daniel Goeudevert",Daniel,Goeudevert,"Wie ein Vogel im Aquarium: Aus dem Leben eines Managers","Wie ein Vogel im Aquarium: Aus dem Leben eines Managers",,,,,,,,,,2016-01-06,"Rowohlt Taschenbuch",2004-02-01,254,349960440X,349960440X,9783499604409
"Doris Lessing",Doris,Lessing,"Die Terroristin: Roman","leichte Gebrauchsspuren",,,,,,,,,,2016-01-06,"FISCHER Taschenbuch",1998-01-01,464,359629259X,359629259X,9783596292592
"Florian Illies",Florian,Illies,"Generation Golf","[Florian Illies: Generation Golf Hardcover (Gut) Argon Verlag 2000 ]",,,,,,,,,,2016-01-06,"Argon Sauerländer Audio",,224,3870245123,3870245123,9783870245122
"John Crowley",John,Crowley,"Little Big oder Das Parlement der Feen",,,,,,,,,,,2016-01-06,"FISCHER Taschenbuch",1989-01-01,704,3596283078,3596283078,9783596283071
"Doris Lessing",Doris,Lessing,"Anweisung für einen Abstieg zur Hölle",,,,,,,,,,,2016-01-06,,1984-01-01,286,,3596253977,9783596253975
"Robert Hültner",Robert,Hültner,"Inspektor Kajetan und die Sache Koslowski: Roman","Das Buch ist gebraucht - gut",,,,,,,,,,2016-01-06,"btb Verlag",1998-02-01,224,344272144X,344272144X,9783442721443
"Michael Larsen",Michael,Larsen,"Ohne sicheres Wissen: Roman","Mchn/Wien. (Hanser). 2.Aufl. 1996. geb.mSU. 267 S.",,,,,,,,,,2016-01-06,"Carl Hanser Verlag GmbH & Co. KG",1996-02-01,272,3446185364,3446185364,9783446185364
